time,V1,V2,V3,V4,V5,V6,V7,V8,SOC1,SOC2,SOC3,SOC4,SOC5,SOC6,SOC7,SOC8,I1,I2,I3,I4,I5,I6,I7,I8,T1,T2,T3,T4,T5,T6,T7,T8
0,26.0500473445589,25.9415613584443,26.0525266690087,26.0498699362903,26.0525262930755,26.049870313305,25.9415613584309,26.0527075218438,0.7,0.6,0.65,0.7,0.65,0.7,0.6,0.65,-1.00028595387499,-1.00057192127716,-1.00057253069388,-1.00057312635926,-1.00057312636192,-1.00057251608194,-1.00057192129817,-1.00028596850663,25,24,27,25,27,25,24,27
1,26.0155290992591,25.9060663180906,26.028028251546,26.0153424279474,26.0280282515454,26.0153424279485,25.9060663180906,26.0282159596086,0.699902162916226,0.59990213514338,0.649902134891091,0.699902134909524,0.649902134891091,0.699902134909526,0.59990213514338,0.649902162907007,-1.00028617081948,-1.00056993346074,-1.00057261661988,-1.00057233753446,-1.00057261662048,-1.00057233753333,-1.00056993346074,-1.00028631037442,25.0017383435809,24.0018541040424,27.0018360310035,25.0017393389601,27.0018360310034,25.00173933896,24.0018541040424,27.0018349799462
2,25.9955601301405,25.8845820737596,26.0101947220261,25.9953678847037,26.0101947220258,25.9953678847039,25.8845820737596,26.0103874115491,0.699804325859119,0.599804270343062,0.649804269825455,0.699804269872399,0.649804269825454,0.699804269872401,0.599804270343062,0.649804325835643,-1.00028595116126,-1.00056946080584,-1.00057222428396,-1.00057189809321,-1.00057222428413,-1.00057189809317,-1.00056946080584,-1.00028611426148,25.0035398523736,24.0037648821148,27.0037041560764,25.0035418783467,27.0037041560763,25.0035418783467,24.0037648821148,27.0037020363938
3,25.9838700545455,25.8715712175348,25.997204805119,25.983674550784,25.9972048051188,25.9836745507841,25.8715712175348,25.997401120553,0.699706488819253,0.599706405580189,0.649706404793007,0.699706404869767,0.649706404793006,0.699706404869768,0.599706405580189,0.649706488780869,-1.00028582257044,-1.00056917456683,-1.00057193850611,-1.00057164083956,-1.00057193850627,-1.00057164083967,-1.00056917456683,-1.00028597141244,25.005387445447,24.0057250976189,27.0056079687462,25.0053905277558,27.0056079687461,25.0053905277558,24.0057250976189,27.005604760636
4,25.9763392481151,25.8631528083693,25.9875481870971,25.9761416471899,25.9875481870969,25.9761416471899,25.8631528083693,25.9877471958546,0.699608651790257,0.599608540841381,0.649608539785339,0.699608539888881,0.649608539785338,0.699608539888882,0.599608540841381,0.649608651738481,-1.00028573973165,-1.00056898936168,-1.00057172606055,-1.00057147511573,-1.00057172606062,-1.00057147511591,-1.00056898936168,-1.00028586521933,25.0072609830549,24.0077197284806,27.0075441455012,25.0072651361225,27.0075441455012,25.0072651361226,24.0077197284806,27.0075398309179
5,25.9707734697848,25.8570812159363,25.9801333677219,25.9705743189751,25.9801333677218,25.9705743189751,25.8570812159364,25.9803344430082,0.699510814768566,0.599510676118699,0.649510674796314,0.699510674922609,0.649510674796313,0.69951067492261,0.599510676118699,0.649510814705412,-1.00028567850813,-1.00056885578664,-1.00057156293442,-1.00057135263465,-1.00057156293446,-1.00057135263479,-1.00056885578664,-1.00028578367902,25.0091480823209,24.0097362749177,27.0095066420505,25.0091533136062,27.0095066420506,25.0091533136062,24.0097362749177,27.0095012063018
6,25.966180549193,25.852227438993,25.9742286529797,25.9659801189093,25.9742286529796,25.9659801189093,25.8522274389929,25.9744313730114,0.699412977752405,0.59941281140794,0.649412809821757,0.699412809967399,0.649412809821757,0.699412809967399,0.59941281140794,0.649412977679576,-1.00028562798602,-1.00056874900358,-1.00057143303059,-1.00057125156237,-1.00057143303061,-1.00057125156248,-1.00056874900357,-1.0002857187452,25.0110434490156,24.0117671622675,27.0114894695673,25.0110497630153,27.0114894695674,25.0110497630154,24.0117671622675,27.0114829013148
7,25.9621422372787,25.8480595804398,25.9693539723992,25.9619406815872,25.9693539723991,25.9619406815872,25.8480595804398,25.9695580498658,0.699315140740886,0.599314946706912,0.649314944858863,0.699314945021474,0.649314944858862,0.699314945021475,0.599314946706912,0.649315140659569,-1.0002855835646,-1.00056865731072,-1.00057132578753,-1.00057116269485,-1.00057132578754,-1.00057116269491,-1.00056865731072,-1.00028566513861,25.0129454911993,24.0138085705213,27.0134878234571,25.0129528915369,27.0134878234572,25.0129528915371,24.0138085705213,27.0134801140605
8,25.9584743332415,25.8443262143712,25.9651936005767,25.9582717551058,25.9651936005766,25.9582717551058,25.8443262143712,25.9653988365451,0.699217303733501,0.599217082014377,0.649217079905725,0.699217080083823,0.649217079905724,0.699217080083823,0.599217082014377,0.649217303644438,-1.00028554321766,-1.00056857517669,-1.00057123425929,-1.00057108197853,-1.0005712342593,-1.00057108197857,-1.00056857517669,-1.00028561938724,25.0148539736571,24.0158587835287,27.01549821803,25.0148624638445,27.0154982180301,25.0148624638446,24.0158587835287,27.0154893608066
9,25.9550837075541,25.8409014673713,25.9615380588968,25.9548801841162,25.9615380588968,25.9548801841163,25.8409014673713,25.9617443130079,0.699119466729909,0.599119217329536,0.649119214961019,0.699119215153758,0.649119214961018,0.699119215153759,0.599119217329536,0.649119466633522,-1.00028550592078,-1.00056849983227,-1.00057115383733,-1.00057100736401,-1.00057115383734,-1.00057100736403,-1.00056849983227,-1.00028557918746,25.0167690036844,24.017917088348,27.0175182560941,25.0167785873097,27.0175182560942,25.0167785873098,24.017917088348,27.0175082457055
