time_h,start_soc,end_soc,capacity_Ah,soh_est
1.048888888888889,0.0,1.0,19.566642114875858,0.980292691126045
2.0874999978807223,1.0,0.0,19.567980634600374,0.9803597512324836
3.1883333312140554,0.0,1.0,19.561702938837882,0.9800452374167276
4.225833333333333,1.0,0.0,19.566041308583777,0.9802625906104097
5.327222224341501,0.0,1.0,19.563805719861392,0.9801505871674043
6.364722222222222,1.0,0.0,19.566004595246845,0.980260751264872
7.465,0.0,1.0,19.560850243164655,0.980002517192618
8.5025,1.0,0.0,19.56560716310424,0.9802408398348816
9.60388888888889,0.0,1.0,19.563404955698555,0.9801305088025328
10.640555557674833,1.0,0.0,19.566443409913223,0.9802827359675963
11.741666664547388,0.0,1.0,19.560291497299897,0.9799745239128205
12.778888888888888,1.0,0.0,19.56698555926907,0.9803098977589715
13.879722222222222,0.0,1.0,19.56096042152779,0.9800080371506907
14.91638888888889,1.0,0.0,19.56753943359949,0.9803376469739222
16.01638888888889,0.0,1.0,19.556732171332857,0.97979620096858
17.053333333333335,1.0,0.0,19.56682291319685,0.9803017491581588
18.15388889100817,0.0,1.0,19.55788654694742,0.9798540354182073
19.190277777777776,1.0,0.0,19.5665716633623,0.9802891614910971
20.290555557674832,0.0,1.0,19.556197095291846,0.9797693935516957
21.327222222222222,1.0,0.0,19.567243877950006,0.9803228395766536
22.426111111111112,0.0,1.0,19.54935561520531,0.9794266340283222
23.46361111111111,1.0,0.0,19.56749515304448,0.9803354285092424
24.56277777777778,0.0,1.0,19.55245063263382,0.9795816950217345
25.600277777777777,1.0,0.0,19.566760764312,0.9802986354865731
27.198055555555555,0.0,1.0,19.547935892711205,0.9793555056468539
