time_h,start_soc,end_soc,capacity_Ah,soh_est
0.9097222243414972,0.0,1.0,16.209218877675198,0.8120851141119838
1.8152777798970527,1.0,0.0,16.430511680584743,0.8231719278850071
2.7308333354526084,0.0,1.0,16.211995896199227,0.8122242432965544
3.6366666666666667,1.0,0.0,16.43633050018454,0.823463451913053
4.551111113230389,0.0,1.0,16.205392845519587,0.8118934291342478
5.457777779897056,1.0,0.0,16.437012998239698,0.8234976452023897
6.371944446563723,0.0,1.0,16.203257377457597,0.8117864417563926
7.278611113230389,1.0,0.0,16.435766769481752,0.8234352088918713
8.193333333333333,0.0,1.0,16.204557087792573,0.8118515575046379
9.0997222243415,1.0,0.0,16.43494285536022,0.8233939306292695
10.013888893127445,0.0,1.0,16.20338982908755,0.8117930776095966
10.92111111323039,1.0,0.0,16.434958433610422,0.8233947111027266
11.836388893127445,0.0,1.0,16.206490817750954,0.8119484377630738
12.7422222243415,1.0,0.0,16.428777610195908,0.8230850506110174
13.657777779897057,0.0,1.0,16.210373066403946,0.8121429391985945
14.564166666666667,1.0,0.0,16.435336549457556,0.8234136547824427
15.479444446563722,0.0,1.0,16.212874016739587,0.8122682373116025
16.385000002119277,1.0,0.0,16.43289164769336,0.8232911647140961
17.29861111323039,0.0,1.0,16.197970081237813,0.8115215471562031
18.206388891008164,1.0,0.0,16.434576621407395,0.8233755822348394
19.121111113230388,0.0,1.0,16.20422573556534,0.8118349566916503
20.027777779897054,1.0,0.0,16.435005088324672,0.8233970485132601
20.9422222243415,0.0,1.0,16.19782272439625,0.8115141645489102
21.848888891008166,1.0,0.0,16.434255150633913,0.8233594764846649
23.265555559794112,0.0,1.0,16.20009265085344,0.8116278883193105
