sample,current_A,voltage_min_V,voltage_mean_V,voltage_max_V,voltage_spread_mV,temperature_min_C,temperature_mean_C,temperature_max_C,consistency_proxy_percent,soc_mean_percent,soc_min_percent,soc_max_percent
14,134.80005,3.2580001,3.25937515,3.2600002,2.00010000000006,30.0,30.375,31.0,99.35999666666666,9.660192765295506,8.880716562271118,10.309867560863495
15,133.80005,3.2570002,3.258875125,3.2600002,3.0000000000001137,30.0,30.375,31.0,99.35999666666666,9.660192765295506,8.880716562271118,10.309867560863495
16,132.30005,3.2580001,3.2591251375,3.2600002,2.00010000000006,30.0,30.375,31.0,99.35666366666666,9.660192765295506,8.880716562271118,10.309867560863495
17,134.5,3.2570002,3.2586251125,3.2600002,3.0000000000001137,30.0,30.375,31.0,99.35666366666666,9.660192765295506,8.880716562271118,10.309867560863495
18,134.40015,3.2570002,3.2585000875,3.2600002,3.0000000000001137,30.0,30.5,31.0,99.353331,9.660192765295506,8.880716562271118,10.309867560863495
19,133.90015,3.2570002,3.2586251125,3.2600002,3.0000000000001137,30.0,30.5,31.0,99.349998,9.660192765295506,8.880716562271118,10.309867560863495
20,132.90015,3.256,3.258250075,3.2600002,4.00020000000012,30.0,30.5,31.0,99.346665,9.660192765295506,8.880716562271118,10.309867560863495
21,135.19995,3.256,3.2580000625,3.259,3.0000000000001137,30.0,30.5,31.0,99.33999866666666,9.660192765295506,8.880716562271118,10.309867560863495
22,130.90015,3.256,3.2580000625,3.259,3.0000000000001137,30.0,30.5,31.0,99.33333266666666,9.660192765295506,8.880716562271118,10.309867560863495
23,133.30005,3.255,3.2576250499999997,3.259,4.0000000000000036,30.0,30.5,31.0,99.33333233333333,9.660192765295506,8.880716562271118,10.309867560863495
24,135.80005,3.256,3.257875075,3.259,3.0000000000001137,30.0,30.5,31.0,99.32666633333334,9.660192765295506,8.880716562271118,10.309867560863495
25,134.6001,3.256,3.2576250625,3.259,3.0000000000001137,30.0,30.5,31.0,99.32333333333332,9.660192765295506,8.880716562271118,10.309867560863495
26,131.90015,3.255,3.2573750749999997,3.259,4.0000000000000036,30.0,30.5,31.0,99.32333333333334,9.660192765295506,8.880716562271118,10.309867560863495
27,132.40015,3.255,3.2573750749999997,3.259,4.0000000000000036,30.0,30.5,31.0,99.32333333333332,9.660192765295506,8.880716562271118,10.309867560863495
28,136.6001,3.255,3.2573750749999997,3.259,4.0000000000000036,30.0,30.5,31.0,99.32333433333334,9.660192765295506,8.880716562271118,10.309867560863495
29,135.0,3.2540002,3.256500125,3.2580001,3.999899999999723,30.0,30.5,31.0,99.32000133333334,9.660192765295506,8.880716562271118,10.309867560863495
30,131.0,3.255,3.2566251,3.2580001,3.00009999999995,30.0,30.5,31.0,99.31666833333334,9.660192765295506,8.880716562271118,10.309867560863495
31,133.19995,3.2540002,3.2562501125,3.2580001,3.999899999999723,30.0,30.5,31.0,99.32333566666668,9.660192765295506,8.880716562271118,10.309867560863495
32,132.5,3.2540002,3.2563751375,3.2580001,3.999899999999723,30.0,30.5,31.0,99.32000266666667,9.660192765295506,8.880716562271118,10.309867560863495
33,133.30005,3.2540002,3.25625015,3.2570002,2.9999999999996696,30.0,30.5,31.0,99.31666933333334,9.660192765295506,8.880716562271118,10.309867560863495
34,133.30005,3.2540002,3.2558751,3.2570002,2.9999999999996696,30.0,30.5,31.0,99.32000366666668,9.660192765295506,8.880716562271118,10.309867560863495
35,136.19995,3.2530003,3.2557501125,3.2570002,3.999899999999723,30.0,30.5,31.0,99.32000366666668,9.660192765295506,8.880716562271118,10.309867560863495
36,131.90015,3.2530003,3.2555001125,3.2570002,3.999899999999723,30.0,30.5,31.0,99.32000366666668,9.660192765295506,8.880716562271118,10.309867560863495
37,131.80005,3.2530003,3.2556251375,3.2570002,3.999899999999723,30.0,30.5,31.0,99.32333666666668,9.660192765295506,8.880716562271118,10.309867560863495
38,133.90015,3.2540002,3.25537505,3.256,1.999799999999663,30.0,30.5,31.0,99.32000433333334,9.660192765295506,8.880716562271118,10.309867560863495
39,134.19995,3.2530003,3.2553751125,3.2570002,3.999899999999723,30.0,30.5,31.0,99.32000466666666,9.660192765295506,8.880716562271118,10.309867560863495
40,132.0,3.252,3.2547500499999997,3.256,4.0000000000000036,30.0,30.5,31.0,99.31667166666668,9.660192765295506,8.880716562271118,10.309867560863495
41,131.0,3.2530003,3.2551250625,3.256,2.9996999999997165,30.0,30.5,31.0,99.31333900000001,9.660192765295506,8.880716562271118,10.309867560863495
42,134.0,3.252,3.2545000625,3.256,4.0000000000000036,30.0,30.5,31.0,99.31333900000001,9.660192765295506,8.880716562271118,10.309867560863495
43,132.80005,3.252,3.2545000624999996,3.256,4.0000000000000036,30.0,30.5,31.0,99.31333866666667,9.660192765295506,8.880716562271118,10.309867560863495
44,134.90015,3.252,3.2541250749999997,3.255,3.0000000000001137,30.0,30.5,31.0,99.31333833333333,9.660192765295506,8.880716562271118,10.309867560863495
45,134.0,3.2510002,3.2540001124999995,3.255,3.999799999999887,30.0,30.5,31.0,99.313338,9.660192765295506,8.880716562271118,10.309867560863495
46,135.40015,3.2510002,3.2537500875,3.255,3.999799999999887,30.0,30.5,31.0,99.30667066666666,9.660192765295506,8.880716562271118,10.309867560863495
47,136.19995,3.2510002,3.254000075,3.256,4.999799999999777,30.0,30.5,31.0,99.30667033333334,9.660192765295506,8.880716562271118,10.309867560863495
48,134.6001,3.2510002,3.2533751625,3.255,3.999799999999887,30.0,30.5,31.0,99.30333766666666,9.660192765295506,8.880716562271118,10.309867560863495
49,134.40015,3.2510002,3.2532501875,3.2540002,3.0000000000001137,30.0,30.5,31.0,99.30000333333332,9.660192765295506,8.880716562271118,10.309867560863495
50,135.19995,3.2500002,3.2531251875,3.2540002,4.0000000000000036,30.0,30.625,31.0,99.29666933333333,9.660192765295506,8.880716562271118,10.309867560863495
51,130.90015,3.2500002,3.2523752249999998,3.2540002,4.0000000000000036,30.0,30.625,31.0,99.29333566666668,9.660192765295506,8.880716562271118,10.309867560863495
52,136.5,3.2500002,3.2523752249999998,3.2540002,4.0000000000000036,30.0,30.625,31.0,99.28666866666666,9.660192765295506,8.880716562271118,10.309867560863495
53,136.19995,3.2500002,3.2525002124999998,3.2540002,4.0000000000000036,30.0,30.625,31.0,99.28333433333333,9.660192765295506,8.880716562271118,10.309867560863495
54,124.1001,3.252,3.2547500374999996,3.256,4.0000000000000036,30.0,30.625,31.0,99.27999966666667,9.660192765295506,8.880716562271118,10.309867560863495
