time,V1,V2,V3,V4,V5,V6,V7,V8,SOC1,SOC2,SOC3,SOC4,SOC5,SOC6,SOC7,SOC8,I1,I2,I3,I4,I5,I6,I7,I8,T1,T2,T3,T4,T5,T6,T7,T8
0,27.2855908376472,27.2096958027099,27.3147332159476,27.2854049628054,27.3147329531649,27.2854053196795,27.209695802696,27.3149227387076,0.7,0.6,0.65,0.7,0.65,0.7,0.6,0.65,0.999700275904505,0.999400391609106,0.999399814846824,0.999399398496142,0.999399398466298,0.999399976171731,0.999400391587082,0.999700114571717,25,24,27,25,27,25,24,27
1,27.3167965559031,27.2420756174882,27.3375917766504,27.3166015496234,27.3375917766502,27.3166015496231,27.2420756174882,27.3377884314751,0.700097779693837,0.600097750472512,0.650097750262992,0.700097750311404,0.650097750262991,0.700097750311405,0.600097750472512,0.650097779669628,0.999699515237719,0.999400674337479,0.999398572979284,0.99939903476737,0.999398572979452,0.999399034766473,0.99940067433748,0.999699284326356,25.0017422586263,24.0018554568207,27.001835168525,25.0017412116997,27.001835168525,25.0017412116998,24.0018554568207,27.0018362728478
2,27.3344531298782,27.2611365977657,27.3535919598342,27.3342526911664,27.3535919598342,27.3342526911664,27.2611365977656,27.3537935379343,0.700195559361385,0.600195500888689,0.650195500480224,0.70019550057025,0.650195500480223,0.700195500570251,0.600195500888689,0.650195559316368,0.999699321015401,0.99940025499539,0.999398220976314,0.999398646441194,0.999398220976484,0.999398646440823,0.999400254995389,0.999699108270713,25.0035460918068,24.0037689643755,27.0037063864193,25.003543960001,27.0037063864193,25.003543960001,24.0037689643755,27.0037086176034
3,27.3471621656039,27.2751172091956,27.3665643281572,27.3469578133821,27.3665643281562,27.3469578133834,27.2751172091956,27.3667698993673,0.700293339018127,0.600293251281239,0.650293250676173,0.70029325080749,0.650293250676172,0.700293250807491,0.600293251281239,0.650293338952464,0.999699181217514,0.999399947418107,0.999397935587359,0.999398366926858,0.999397935586028,0.999398366928814,0.999399947418108,0.999698965533066,25.0053786041477,24.0057136943024,27.0056012640227,25.0053753698207,27.0056012640227,25.0053753698207,24.0057136943024,27.0056046367068
4,27.3564984902321,27.2854567713653,27.3769512981446,27.3562912610955,27.3769512981446,27.3562912610957,27.2854567713653,27.3771600683279,0.700391118666042,0.600391001654203,0.650391000852605,0.70039100102708,0.650391000852604,0.700391001027081,0.600391001654203,0.650391118578797,0.999699078516505,0.999399719951083,0.999397707071643,0.999398161591951,0.999397707071745,0.999398161592001,0.999399719951083,0.999698851239299,25.0072350042558,24.0076880533397,27.0075230024451,25.0072306527042,27.0075230024451,25.0072306527041,24.0076880533397,27.0075275331656
5,27.3633667797348,27.2930523128177,27.3851073609293,27.3631574328173,27.3851073609293,27.3631574328174,27.2930523128177,27.3853186446356,0.700488898306189,0.600488752009931,0.650488751010876,0.70048875123114,0.650488751010875,0.700488751231141,0.600488752009931,0.650488898196048,0.999699002965352,0.999399552849101,0.999397527638307,0.999398010536159,0.999397527638378,0.999398010536248,0.999399552849101,0.999698761494997,25.0091102731314,24.0096878425958,27.0094711115649,25.0091047927031,27.0094711115649,25.0091047927031,24.0096878425958,27.0094768165467
6,27.3686446954165,27.2988335876169,27.3915508345677,27.368433720302,27.3915508345677,27.3684337203021,27.2988335876169,27.3917641052432,0.700586677939928,0.600586502351535,0.650586501153699,0.700586501422388,0.650586501153699,0.700586501422389,0.600586502351535,0.650586677805572,0.999698944908302,0.999399425661043,0.999397385881844,0.9993978944579,0.999397385881893,0.999397894457978,0.999399425661042,0.999698690594921,25.010998837176,24.011706686272,27.0114415576429,25.0109922196202,27.0114415576429,25.0109922196201,24.011706686272,27.0114484506407
7,27.372987378149,27.3035235584983,27.3967736747799,27.3727750630227,27.3967736747799,27.3727750630228,27.3035235584983,27.3969885567245,0.700684457568436,0.600684252681745,0.650684251283872,0.700684251603178,0.650684251283871,0.700684251603179,0.600684252681745,0.65068445740877,0.999698897138806,0.999399322481695,0.999397270979293,0.999397798948441,0.999397270979327,0.999397798948493,0.999399322481695,0.999698633125928,25.0128968142543,24.0137392588488,27.0134295633433,25.0128890536995,27.0134295633433,25.0128890536994,24.0137392588488,27.0134376551881
8,27.3767829409813,27.3075693206743,27.4011497874441,27.3765694545919,27.4011497874441,27.3765694545919,27.3075693206743,27.4013660196715,0.70078223719252,0.600782003002448,0.650782001403614,0.700782001775122,0.650782001403613,0.700782001775123,0.600782003002448,0.65078223700675,0.999698855387624,0.999399233474945,0.999397174704754,0.999397715471895,0.99939717470478,0.999397715471921,0.999399233474944,0.99969858497381,25.0148022932723,24.0157822772356,27.0154311207135,25.014793385028,27.0154311207135,25.0147933850279,24.0157822772356,27.0154404197822
9,27.3802307169595,27.3112115707222,27.4049361872718,27.3800161666339,27.4049361872718,27.3800161666339,27.3112115707221,27.4051535877176,0.700880016812689,0.600879753314834,0.650879751514517,0.700879751939238,0.650879751514516,0.700879751939239,0.600879753314834,0.650880016600309,0.999698817462092,0.999399153345459,0.999397091403914,0.999397639644279,0.999397091403935,0.999397639644285,0.999399153345458,0.999698543310541,25.0167146148174,24.0178340759218,27.01744332588,25.0167045546096,27.01744332588,25.0167045546095,24.0178340759218,27.0174538387701
